iter	Passed	Remaining
152	185	1024
153	186	1022
154	187	1019
155	188	1017
156	189	1015
157	190	1012
158	190	1010
159	191	1007
160	192	1005
161	193	1003
162	194	1000
163	195	998
164	196	996
165	197	994
166	198	991
167	199	989
168	200	987
169	201	984
170	202	982
171	203	980
172	204	978
173	205	976
174	206	974
175	207	972
176	208	969
177	209	967
178	210	966
179	211	964
180	212	962
181	213	960
182	214	958
183	215	956
184	216	954
185	217	952
186	218	950
187	219	948
188	220	946
189	221	944
190	222	942
191	223	940
192	224	938
193	225	936
194	226	935
195	227	933
196	228	931
197	229	929
198	230	927
199	231	925
200	232	923
201	233	921
202	234	919
203	235	917
204	236	915
205	237	914
206	238	912
207	239	910
208	240	908
209	241	906
210	242	905
211	243	903
212	243	901
213	244	899
214	245	897
215	246	896
216	247	894
217	248	892
218	249	890
219	250	888
220	251	887
221	252	885
222	253	883
223	254	882
224	255	881
225	257	880
226	258	879
227	259	878
228	260	876
229	261	875
230	262	873
231	263	872
232	264	870
233	265	869
234	266	868
235	268	867
236	269	866
237	270	865
238	271	863
239	272	862
240	273	860
241	274	859
242	275	858
243	276	856
244	277	854
245	278	853
246	279	851
247	280	850
248	281	848
249	282	847
250	283	845
251	284	844
252	285	842
253	286	841
254	287	839
255	288	837
256	289	836
257	290	835
258	291	833
259	292	832
260	293	830
261	294	828
262	295	827
263	296	825
264	297	824
265	298	822
266	299	821
267	300	819
268	301	818
269	302	816
270	303	815
271	304	813
272	305	812
273	306	811
274	307	810
275	308	809
276	309	808
277	310	807
278	311	805
279	313	805
280	314	804
281	315	803
282	316	802
283	317	801
284	319	800
285	320	799
286	321	798
287	322	797
288	323	796
289	324	794
290	325	793
291	326	792
292	327	790
293	328	789
294	329	788
295	331	787
296	332	786
297	333	784
298	334	784
299	335	782
300	336	781
301	337	780
302	338	778
303	339	777
304	340	776
305	341	774
306	342	773
307	343	771
308	344	770
309	345	769
310	346	767
311	347	766
312	348	765
313	349	763
314	350	762
315	351	761
316	352	759
317	353	758
318	354	756
319	355	755
320	356	754
321	357	752
322	358	751
323	359	749
324	360	748
325	361	747
326	362	745
327	363	744
328	364	743
329	365	741
330	366	740
331	367	739
332	368	737
333	369	736
334	370	735
335	371	733
336	372	732
337	373	731
338	374	729
339	375	728
340	376	726
341	377	725
342	378	724
343	379	722
344	379	721
345	380	720
346	381	718
347	382	717
348	383	716
349	384	714
350	385	713
351	386	712
352	387	710
353	388	709
354	389	708
355	390	706
356	391	705
357	392	704
358	393	703
359	394	701
360	395	700
361	396	699
362	397	697
363	398	696
364	399	695
365	400	693
366	401	692
367	402	691
368	403	690
369	404	688
370	405	687
371	406	686
372	407	684
373	408	683
374	409	682
375	410	681
376	411	680
377	412	678
378	413	677
379	414	676
380	415	675
381	416	673
382	417	672
383	418	671
384	419	669
385	420	668
386	421	667
387	422	666
388	423	664
389	424	663
390	425	662
391	426	661
392	427	659
393	428	658
394	429	657
395	430	656
396	431	654
397	432	653
398	433	652
399	434	651
400	435	649
401	436	648
402	437	647
403	438	646
404	438	644
405	439	643
406	440	642
407	441	641
408	442	639
409	443	638
410	444	637
411	445	636
412	446	635
413	447	633
414	448	632
415	449	631
416	450	630
417	451	628
418	452	627
419	453	626
420	454	625
421	455	624
422	456	622
423	457	621
424	458	620
425	459	619
426	460	617
427	461	616
428	462	615
429	463	614
430	464	612
431	465	611
432	466	610
433	467	609
434	468	608
435	469	607
436	470	605
437	471	604
438	472	603
439	473	602
440	474	601
441	475	599
442	476	598
443	477	597
444	478	596
445	479	595
446	480	593
447	481	592
448	482	591
449	482	590
450	483	589
451	484	587
452	485	586
453	486	585
454	487	584
455	488	583
456	489	582
457	490	580
458	491	579
459	492	578
460	493	577
461	494	576
462	495	575
463	496	573
464	497	572
465	498	571
466	499	570
467	500	569
468	501	567
469	502	567
470	504	566
471	505	565
472	506	563
473	507	562
474	508	561
475	509	560
476	510	559
477	511	558
478	512	557
479	513	556
480	514	554
481	515	553
482	516	552
483	517	551
484	518	550
485	519	549
486	520	548
487	521	547
488	522	545
489	523	544
490	524	543
491	525	542
492	526	541
493	527	540
494	528	538
495	529	537
496	530	536
497	531	535
498	532	534
499	533	533
500	534	532
501	535	531
502	536	529
503	537	528
504	538	527
505	539	526
506	540	525
507	541	524
508	542	523
509	543	522
510	544	520
511	545	519
512	546	518
513	547	517
514	548	516
515	549	515
516	550	514
517	551	513
518	552	511
519	553	510
520	554	509
521	555	508
522	556	507
523	557	506
524	558	505
525	559	504
526	560	503
527	561	502
528	562	501
529	563	500
530	564	498
531	566	497
532	567	496
533	568	495
534	569	494
535	570	493
536	571	492
537	572	491
538	574	490
539	575	489
540	576	489
541	577	488
542	578	487
543	580	486
544	581	485
545	582	484
546	583	483
547	585	482
548	586	481
549	587	480
550	588	479
551	590	478
552	591	477
553	592	476
554	593	476
555	595	475
556	596	474
557	597	473
558	598	472
559	600	471
560	601	470
561	602	469
562	603	468
563	605	467
564	606	466
565	607	465
566	608	465
567	610	464
568	611	463
569	613	462
570	614	461
571	615	460
572	617	459
573	618	459
574	619	458
575	621	457
576	622	456
577	624	455
578	625	454
579	626	453
580	627	452
581	629	451
582	630	451
583	631	450
584	633	449
585	634	448
586	635	447
587	636	446
588	638	445
589	639	444
590	640	443
591	641	442
592	643	441
593	644	440
594	645	439
595	646	438
596	647	437
597	648	436
598	650	435
599	651	434
600	652	433
601	653	432
602	654	431
603	656	430
604	657	429
605	658	428
606	659	427
607	660	425
608	661	424
609	662	423
610	664	422
611	665	421
612	666	420
613	667	419
614	669	418
615	670	417
616	671	416
617	672	415
618	673	414
619	675	413
620	676	412
621	677	411
622	678	410
623	679	409
624	680	408
625	682	407
626	683	406
627	684	405
628	685	404
629	686	403
630	687	402
631	688	401
632	690	400
633	691	399
634	692	398
635	693	397
636	695	396
637	696	395
638	697	394
639	698	393
640	699	391
641	701	390
642	702	389
643	703	388
644	704	387
645	705	386
646	706	385
647	708	384
648	709	383
649	710	382
650	711	381
651	712	380
652	714	379
653	715	378
654	716	377
655	717	376
656	718	375
657	720	374
658	721	373
659	722	372
660	723	371
661	724	370
662	726	369
663	727	367
664	728	366
665	729	365
666	730	364
667	731	363
668	732	362
669	733	361
670	734	360
671	736	359
672	737	358
673	738	357
674	739	356
675	740	355
676	741	353
677	743	352
678	744	351
679	745	350
680	746	349
681	747	348
682	748	347
683	749	346
684	750	345
685	751	344
686	752	343
687	754	341
688	755	340
689	756	339
690	757	338
691	758	337
692	759	336
693	760	335
694	762	334
695	763	333
696	764	332
697	765	331
698	766	330
699	767	329
700	769	328
701	770	326
702	771	325
703	772	324
704	773	323
705	774	322
706	775	321
707	776	320
708	778	319
709	779	318
710	780	317
711	781	316
712	782	314
713	783	313
714	784	312
715	785	311
716	787	310
717	788	309
718	789	308
719	790	307
720	791	306
721	792	305
722	793	304
723	794	303
724	795	301
725	796	300
726	797	299
727	799	298
728	800	297
729	801	296
730	802	295
731	803	294
732	804	293
733	805	292
734	807	291
735	808	289
736	809	288
737	810	287
738	810	286
739	811	285
740	813	284
741	814	283
742	815	281
743	816	280
744	817	279
745	818	278
746	819	277
747	820	276
748	821	275
749	822	274
750	823	273
751	824	271
752	825	270
753	826	269
754	827	268
755	829	267
756	830	266
757	831	265
758	832	264
759	833	263
760	834	262
761	835	261
762	836	259
763	837	258
764	838	257
765	839	256
766	840	255
767	841	254
768	843	253
769	844	252
770	845	251
771	846	249
772	847	248
773	848	247
774	849	246
775	850	245
776	851	244
777	852	243
778	853	242
779	854	241
780	855	239
781	856	238
782	857	237
783	858	236
784	859	235
785	860	234
786	861	233
787	862	232
788	863	231
789	865	229
790	866	228
791	867	227
792	868	226
793	869	225
794	870	224
795	871	223
796	872	222
797	873	221
798	874	220
799	875	218
800	876	217
801	877	216
802	878	215
803	879	214
804	880	213
805	881	212
806	882	211
807	883	210
808	884	208
809	885	207
810	886	206
811	887	205
812	888	204
813	889	203
814	890	202
815	891	201
816	892	200
817	893	198
818	894	197
819	895	196
820	896	195
821	897	194
822	898	193
823	899	192
824	900	191
825	901	189
826	902	188
827	903	187
828	904	186
829	905	185
830	906	184
831	907	183
832	908	182
833	909	181
834	910	179
835	911	178
836	912	177
837	913	176
838	914	175
839	915	174
840	916	173
841	917	172
842	918	171
843	919	170
844	920	168
845	921	167
846	922	166
847	923	165
848	924	164
849	925	163
850	926	162
851	927	161
852	928	160
853	929	158
854	930	157
855	931	156
856	932	155
857	933	154
858	934	153
859	935	152
860	936	151
861	937	150
862	938	149
863	939	147
864	940	146
865	941	145
866	942	144
867	943	143
868	944	142
869	945	141
870	946	140
871	947	139
872	948	138
873	949	136
874	950	135
875	951	134
876	952	133
877	953	132
878	954	131
879	955	130
880	956	129
881	957	128
882	958	127
883	959	125
884	960	124
885	961	123
886	962	122
887	963	121
888	964	120
889	965	119
890	966	118
891	967	117
892	968	116
893	969	114
894	970	113
895	971	112
896	972	111
897	973	110
898	974	109
899	975	108
900	976	107
901	977	106
902	978	105
903	979	103
904	980	102
905	981	101
906	982	100
907	983	99
908	984	98
909	985	97
910	986	96
911	987	95
912	988	94
913	989	93
914	990	92
915	991	90
916	992	89
917	993	88
918	994	87
919	995	86
920	996	85
921	997	84
922	998	83
923	1000	82
924	1001	81
925	1002	80
926	1003	79
927	1004	77
928	1005	76
929	1006	75
930	1007	74
931	1008	73
932	1009	72
933	1010	71
934	1011	70
935	1012	69
936	1013	68
937	1014	67
938	1015	65
939	1016	64
940	1017	63
941	1018	62
942	1019	61
943	1021	60
944	1022	59
945	1023	58
946	1024	57
947	1025	56
948	1026	55
949	1027	54
950	1028	52
951	1029	51
952	1030	50
953	1031	49
954	1032	48
955	1033	47
956	1034	46
957	1035	45
958	1036	44
959	1037	43
960	1038	42
961	1039	41
962	1040	39
963	1041	38
964	1042	37
965	1043	36
966	1045	35
967	1046	34
968	1047	33
969	1048	32
970	1049	31
971	1050	30
972	1051	29
973	1052	28
974	1053	27
975	1054	25
976	1055	24
977	1056	23
978	1058	22
979	1059	21
980	1060	20
981	1061	19
982	1062	18
983	1063	17
984	1064	16
985	1065	15
986	1066	14
987	1067	12
988	1068	11
989	1070	10
990	1071	9
991	1072	8
992	1073	7
993	1074	6
994	1075	5
995	1076	4
996	1078	3
997	1079	2
998	1080	1
999	1081	0
