iter	RMSE
283	4.228370512
284	4.222770814
285	4.215959234
286	4.206903944
287	4.197845492
288	4.193419083
289	4.182758505
290	4.178313188
291	4.172807243
292	4.161845084
293	4.153306846
294	4.14829916
295	4.139926488
296	4.135900738
297	4.127549823
298	4.118653254
299	4.113092486
300	4.10582116
301	4.100409751
302	4.095710927
303	4.090612254
304	4.085768124
305	4.077975654
306	4.073209207
307	4.066735633
308	4.063979598
309	4.058069576
310	4.049532194
311	4.043472515
312	4.039078944
313	4.031013679
314	4.02684846
315	4.021415612
316	4.019114617
317	4.016898456
318	4.011381972
319	4.006333533
320	4.002548288
321	3.996964429
322	3.993522801
323	3.986397552
324	3.978633852
325	3.972484971
326	3.968504121
327	3.965979349
328	3.963915631
329	3.956125132
330	3.946686912
331	3.943362403
332	3.938371383
333	3.934159789
334	3.924756781
335	3.917635563
336	3.913897516
337	3.909550858
338	3.904171382
339	3.896291901
340	3.892779196
341	3.888135929
342	3.885318274
343	3.879405193
344	3.874985192
345	3.870174097
346	3.863786554
347	3.855338071
348	3.85144262
349	3.847780623
350	3.844008587
351	3.842277702
352	3.838430933
353	3.835184215
354	3.829051272
355	3.824184964
356	3.821127959
357	3.811210312
358	3.807525069
359	3.806001549
360	3.803078258
361	3.800523443
362	3.794771156
363	3.789221584
364	3.787744831
365	3.781806694
366	3.778479562
367	3.777055981
368	3.769835206
369	3.766201384
370	3.758202361
371	3.756026475
372	3.750628469
373	3.747596526
374	3.743227318
375	3.739048349
376	3.733567334
377	3.730705156
378	3.724190931
379	3.721699226
380	3.720174905
381	3.716377684
382	3.714063763
383	3.709262383
384	3.704808313
385	3.702457945
386	3.696454177
387	3.691528983
388	3.689339292
389	3.685092003
390	3.680171019
391	3.679623477
392	3.675738987
393	3.672971921
394	3.667305849
395	3.660831988
396	3.656219818
397	3.653371214
398	3.648859194
399	3.645109008
400	3.641729355
401	3.637113346
402	3.634075511
403	3.631826209
404	3.630933502
405	3.624189499
406	3.621426394
407	3.618876722
408	3.615824297
409	3.615371101
410	3.611694699
411	3.60567293
412	3.600275616
413	3.599635115
414	3.595534636
415	3.591056636
416	3.588535696
417	3.585556909
418	3.583330159
419	3.578849921
420	3.572074695
421	3.569544914
422	3.566699673
423	3.559147385
424	3.554596151
425	3.550554219
426	3.547779262
427	3.54443212
428	3.544013373
429	3.541037448
430	3.538304861
431	3.532051353
432	3.531373415
433	3.52945407
434	3.52557995
435	3.522104161
436	3.521610547
437	3.519185791
438	3.515767807
439	3.512457521
440	3.506307265
441	3.500888073
442	3.495834634
443	3.492028047
444	3.489925612
445	3.489456766
446	3.483744478
447	3.47934374
448	3.473669766
449	3.469138542
450	3.463202949
451	3.460103141
452	3.45712609
453	3.452729617
454	3.448185111
455	3.444532546
456	3.440212514
457	3.43606358
458	3.432523135
459	3.430859825
460	3.428275385
461	3.424248254
462	3.421366695
463	3.41824626
464	3.412854033
465	3.406704148
466	3.403363679
467	3.402985733
468	3.396614868
469	3.394269849
470	3.390651419
471	3.387125974
472	3.384065163
473	3.381470865
474	3.377794584
475	3.370551813
476	3.366714787
477	3.364218582
478	3.361229886
479	3.359451866
480	3.357635013
481	3.352051416
482	3.349650923
483	3.346489797
484	3.344207923
485	3.33932598
486	3.333641689
487	3.328296434
488	3.322530732
489	3.319935946
490	3.319512996
491	3.315170317
492	3.312422386
493	3.311008848
494	3.310721749
495	3.308915435
496	3.305614292
497	3.301142635
498	3.298576097
499	3.297575339
500	3.295808305
501	3.292953399
502	3.288020661
503	3.285488897
504	3.280963547
505	3.279992521
506	3.277773483
507	3.273951306
508	3.270918547
509	3.26733757
510	3.262876339
511	3.258295415
512	3.255987406
513	3.25033622
514	3.247312456
515	3.245567371
516	3.243070398
517	3.240312317
518	3.237499
519	3.235901177
520	3.233868706
521	3.232153374
522	3.227138299
523	3.225425602
524	3.221164275
525	3.217239234
526	3.213364954
527	3.2115473
528	3.211194387
529	3.204265582
530	3.203969639
531	3.203630961
532	3.201457011
533	3.199041908
534	3.195594396
535	3.193827502
536	3.191584515
537	3.190277348
538	3.188540508
539	3.186258432
540	3.181986479
541	3.181677925
542	3.177379385
543	3.173748923
544	3.16912193
545	3.164294709
546	3.162229759
547	3.16196387
548	3.1579422
549	3.155992303
550	3.152917714
551	3.150550395
552	3.145451275
553	3.143977802
554	3.142698427
555	3.140621958
556	3.138922326
557	3.136258985
558	3.134712434
559	3.133637164
560	3.132239217
561	3.129282194
562	3.127440712
563	3.123389497
564	3.12056528
565	3.115732977
566	3.114706335
567	3.113726437
568	3.111035125
569	3.10825856
570	3.105049254
571	3.104323879
572	3.100838121
573	3.09930377
574	3.096540403
575	3.093922844
576	3.089839784
577	3.087831724
578	3.085729765
579	3.08236157
580	3.080339481
581	3.078603392
582	3.075149074
583	3.073812079
584	3.072244439
585	3.070672559
586	3.068613818
587	3.066163407
588	3.063385957
589	3.059836082
590	3.057641483
591	3.052557139
592	3.048227183
593	3.047158739
594	3.044771184
595	3.042694529
596	3.040054616
597	3.037320397
598	3.03431359
599	3.032018195
600	3.031782285
601	3.027157623
602	3.02413731
603	3.020194069
604	3.017596975
605	3.015727811
606	3.012488136
607	3.011306793
608	3.008202406
609	3.005412366
610	3.002327355
611	3.000040294
612	2.997890258
613	2.996263946
614	2.995316281
615	2.992376678
616	2.99220137
617	2.98934739
618	2.98730779
619	2.985715121
620	2.984021975
621	2.982792914
622	2.981074684
623	2.978503247
624	2.977975773
625	2.975296895
626	2.972157205
627	2.971660159
628	2.969069949
629	2.965907714
630	2.964396537
631	2.962540024
632	2.961261927
633	2.957426776
634	2.954550645
635	2.951584204
636	2.948002329
637	2.945136876
638	2.944343947
639	2.94272844
640	2.941298409
641	2.937744771
642	2.937060979
643	2.935504578
644	2.933373216
645	2.931058816
646	2.928385758
647	2.92556756
648	2.923743603
649	2.919278097
650	2.916471149
651	2.914784496
652	2.912207411
653	2.910207779
654	2.908506616
655	2.906744106
656	2.904307748
657	2.901520175
658	2.899901174
659	2.897039637
660	2.893500816
661	2.891065727
662	2.888482512
663	2.886633952
664	2.882593773
665	2.88211346
666	2.880098899
667	2.879959432
668	2.877853008
669	2.876184362
670	2.875433896
671	2.872545258
672	2.870095725
673	2.86776641
674	2.865558561
675	2.864336244
676	2.860585293
677	2.85749054
678	2.856639257
679	2.854637387
680	2.853184879
681	2.850924707
682	2.848664354
683	2.847690142
684	2.843963045
685	2.841360744
686	2.839702137
687	2.837116611
688	2.835557988
689	2.833967393
690	2.831252009
691	2.830820142
692	2.829063235
693	2.827271952
694	2.82561529
695	2.823760657
696	2.823353639
697	2.822189692
698	2.819983132
699	2.81921156
700	2.815678143
701	2.812714612
702	2.809741614
703	2.809204235
704	2.808929607
705	2.806929322
706	2.806059935
707	2.804828091
708	2.801627809
709	2.798495226
710	2.796721444
711	2.793569362
712	2.791621105
713	2.790513043
714	2.788646802
715	2.787323494
716	2.78363038
717	2.779444257
718	2.777834604
719	2.774871137
720	2.773267024
721	2.772476481
722	2.770398558
723	2.768549511
724	2.765588139
725	2.76434114
726	2.763181381
727	2.761269512
728	2.759277323
729	2.757247644
730	2.756296432
731	2.754892315
732	2.75279447
733	2.749474747
734	2.747156124
735	2.745030105
736	2.74330976
737	2.741250443
738	2.740544673
739	2.737506664
740	2.734956474
741	2.734582308
742	2.732434793
743	2.73110328
744	2.729290886
745	2.728628008
746	2.7264381
747	2.725048869
748	2.724215313
749	2.722016305
750	2.719995715
751	2.718756474
752	2.716477849
753	2.715279135
754	2.71273191
755	2.711086217
756	2.709298003
757	2.707287305
758	2.705615527
759	2.704073626
760	2.702595965
761	2.701108901
762	2.700260372
763	2.698410446
764	2.697062421
765	2.696547532
766	2.694893736
767	2.692618902
768	2.691493889
769	2.689943771
770	2.689299989
771	2.688996433
772	2.687474702
773	2.685821818
774	2.68436269
775	2.68271253
776	2.682236226
777	2.681004102
778	2.678422895
779	2.676316824
780	2.674435249
781	2.673661126
782	2.673180624
783	2.670978966
784	2.668526141
785	2.668042763
786	2.666631572
787	2.665245768
788	2.664083327
789	2.661630147
790	2.659983678
791	2.658932783
792	2.657448504
793	2.65571978
794	2.653309235
795	2.650885233
796	2.64966185
797	2.647763488
798	2.645162253
799	2.643653099
800	2.642285077
801	2.640973714
802	2.638396339
803	2.636031689
804	2.634057115
805	2.631431886
806	2.630542609
807	2.628881753
808	2.62721453
809	2.62695968
810	2.625182515
811	2.624141749
812	2.623099505
813	2.622513136
814	2.620194365
815	2.618352946
816	2.617076938
817	2.615748201
818	2.614412286
819	2.613506751
820	2.612206249
821	2.610303975
822	2.608057884
823	2.606828665
824	2.605449666
825	2.603716832
826	2.602936343
827	2.601533377
828	2.599034532
829	2.597518188
830	2.59674148
831	2.595706367
832	2.593534983
833	2.591968587
834	2.591361352
835	2.591203696
836	2.58927206
837	2.587893587
838	2.585488676
839	2.584115363
840	2.582399791
841	2.580608473
842	2.578891985
843	2.577781198
844	2.577092602
845	2.574900617
846	2.574026526
847	2.572196349
848	2.569908693
849	2.569150691
850	2.568633766
851	2.567954297
852	2.566883098
853	2.565419104
854	2.561724445
855	2.560608642
856	2.558599122
857	2.55690865
858	2.556343363
859	2.555142587
860	2.553661073
861	2.552351003
862	2.551649007
863	2.549460047
864	2.547796456
865	2.546459637
866	2.545091634
867	2.544660432
868	2.543356495
869	2.542188449
870	2.538907213
871	2.53799279
872	2.536463285
873	2.535187359
874	2.53404514
875	2.532587866
876	2.532505525
877	2.531065456
878	2.529978558
879	2.528259783
880	2.526412871
881	2.525277212
882	2.521749746
883	2.521137518
884	2.520015691
885	2.5190091
886	2.518263942
887	2.516750646
888	2.515533401
889	2.514066599
890	2.513132575
891	2.510436525
892	2.50953106
893	2.508646514
894	2.505832488
895	2.505466369
896	2.504348945
897	2.504261329
898	2.503351413
899	2.502300985
900	2.501349488
901	2.500064534
902	2.499436981
903	2.498100176
904	2.496896522
905	2.495852184
906	2.495024046
907	2.494011478
908	2.49360886
909	2.492017147
910	2.490116688
911	2.487587398
912	2.486412942
913	2.484890659
914	2.483799715
915	2.483129044
916	2.48244553
917	2.481842914
918	2.480071946
919	2.479390009
920	2.47915123
921	2.478555474
922	2.477302896
923	2.477097689
924	2.476437186
925	2.475991342
926	2.475035236
927	2.473904112
928	2.472395695
929	2.471220353
930	2.469747499
931	2.469652706
932	2.468145076
933	2.467033972
934	2.466517831
935	2.465355753
936	2.4632818
937	2.462456006
938	2.461824947
939	2.460289682
940	2.460203412
941	2.459016916
942	2.458196926
943	2.456546721
944	2.454633105
945	2.453449982
946	2.453189693
947	2.451846605
948	2.450650709
949	2.449867466
950	2.448738901
951	2.447758453
952	2.446110909
953	2.445205791
954	2.443846261
955	2.441350975
956	2.441266474
957	2.439392086
958	2.439232974
959	2.438751467
960	2.43763101
961	2.437006694
962	2.435815832
963	2.435174113
964	2.434070063
965	2.432958151
966	2.431306446
967	2.43016585
968	2.429715502
969	2.428595834
970	2.428277769
971	2.428170089
972	2.4274465
973	2.427393355
974	2.426434435
975	2.426353052
976	2.426276724
977	2.425470743
978	2.424341791
979	2.423289249
980	2.422836702
981	2.421357194
982	2.420246175
983	2.4185694
984	2.417464125
985	2.416458059
986	2.415475406
987	2.414617718
988	2.413569011
989	2.411608004
990	2.410546544
991	2.409521225
992	2.408785604
993	2.406767204
994	2.40608253
995	2.405003743
996	2.40403194
997	2.402529038
998	2.402452755
999	2.400924224
